,accuracy,f1,roc_auc
LogisticRegression,0.9687433798818361,0.968682917921492,
DecisionTree,0.9676636994546509,0.9675920793724471,
RandomForest,0.9685814511357311,0.9685276895077417,
KNN,0.9686893987752235,0.968633744355649,
XGBoost,0.9685274991765841,0.9684871793936336,
LightGBM,0.9685814511357311,0.9685427848891512,
CatBoost,0.9690133145623653,0.9689624581354238,
